0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
80,80,80,80,80,80,80,80,80,80,78,77,77,76,76,78,78,78,78,79,80,80,80,80,80,84,87,81,83,85,79,80,79,79,78,77,76,77,71,76,81,72,76,79,79,80,75,81
80,80,80,80,80,80,80,80,80,80,78,77,77,76,76,78,78,78,78,79,80,80,80,80,80,78,80,79,78,80,79,80,79,79,78,77,79,76,75,74,81,70,72,79,79,80,80,80
92,96,98,97,96,92,84,98,99,97,94,93,94,94,93,94,94,94,95,96,98,98,98,100,98,97,97,94,97,98,88,95,94,94,91,90,89,92,97,93,93,97,94,95,97,98,97,99
98,98,97,98,96,95,93,98,98,98,97,96,97,98,98,98,98,98,97,97,99,99,99,98,98,96,96,94,96,98,93,96,97,97,94,95,96,97,97,98,99,98,97,97,97,98,98,99
99,99,100,99,98,98,98,98,98,97,94,94,96,99,98,100,99,100,97,98,99,99,100,98,99,94,96,93,97,99,95,97,98,96,92,93,96,98,98,98,98,98,97,97,98,98,98,99
93,93,95,92,97,92,83,93,95,95,96,95,97,100,99,100,100,98,98,98,96,95,93,93,97,97,96,91,97,98,95,98,100,97,94,96,100,99,100,100,100,99,96,95,95,95,94,90
100,100,99,99,99,99,97,96,96,94,94,93,96,99,99,100,100,99,99,100,100,99,99,98,97,98,98,98,98,100,99,98,99,96,89,91,98,100,93,89,91,99,98,99,100,100,98,98
99,98,99,99,98,99,98,99,99,98,98,98,99,100,100,100,100,99,100,100,99,99,99,98,98,99,98,97,99,100,99,100,100,99,97,96,99,96,96,91,92,96,96,98,99,98,98,98
88,87,88,90,92,87,82,96,99,99,99,98,100,100,100,99,100,93,85,86,73,79,74,77,86,92,93,89,87,95,90,97,100,99,98,97,98,100,99,100,99,87,82,85,85,77,86,85
88,89,88,88,94,89,83,94,96,96,95,96,96,97,97,97,98,96,95,94,90,90,93,94,95,94,91,92,94,93,93,96,95,96,95,95,95,95,97,96,97,95,93,92,92,89,89,89
95,93,95,93,99,97,92,99,99,99,98,98,99,100,100,100,100,99,100,99,99,98,100,97,98,98,96,97,98,99,99,99,98,98,98,97,97,99,100,99,99,99,98,96,96,95,96,94
98,94,99,97,100,99,95,100,98,98,99,97,100,100,100,100,100,99,100,99,100,100,100,98,98,98,99,98,98,100,99,99,98,99,98,97,97,100,100,99,100,98,97,97,96,98,99,95
99,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,99,98,97,98,98,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,98,98,98,95
