0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
96,98,97,98,95,96,95,98,99,98,96,95,94,93,87,90,82,48,77,88,90,96,98,98,98,96,93,95,95,96,90,88,91,90,87,86,93,91,81,86,79,57,45,62,67,94,70,99
95,95,94,96,92,94,90,93,97,96,94,92,93,92,89,89,85,84,81,85,87,92,94,96,96,92,89,93,89,93,88,88,88,89,87,87,92,91,86,82,78,79,72,77,88,91,84,95
96,95,94,97,96,93,88,90,96,96,94,93,94,93,90,91,85,85,83,86,87,92,94,96,94,97,92,95,88,94,90,90,89,91,88,89,92,92,85,86,78,73,79,79,83,91,85,93
96,97,93,95,92,94,92,93,92,90,89,88,90,87,84,86,78,81,82,85,88,90,94,95,96,93,95,93,92,93,87,81,84,85,84,87,88,84,81,83,78,60,74,78,81,88,81,97
100,99,99,99,98,98,98,97,97,96,95,94,94,93,90,90,86,85,81,92,93,95,98,99,99,98,98,96,97,98,90,76,79,92,89,90,94,92,87,88,83,67,77,85,88,95,89,99
100,100,100,99,100,100,100,100,100,100,100,100,100,100,99,99,96,90,74,98,97,98,100,100,100,99,96,94,98,100,99,99,100,100,99,99,100,100,97,98,94,83,87,91,94,100,94,100
100,99,100,100,99,100,99,100,100,100,100,100,100,100,98,98,95,91,87,97,96,97,99,100,100,99,96,91,94,99,99,99,100,100,98,99,99,99,97,97,92,85,70,81,86,100,87,100
100,100,99,99,97,99,98,100,100,100,97,96,97,93,81,78,71,65,75,83,91,93,96,99,100,99,95,89,93,98,88,81,89,72,73,72,82,94,83,82,75,61,31,47,63,97,67,100
95,97,95,96,90,93,92,95,96,94,88,82,86,75,45,40,28,22,44,58,80,81,86,93,95,95,87,83,80,90,66,44,64,29,32,29,63,74,66,52,39,19,15,18,44,87,53,94
95,96,96,96,92,94,92,95,96,94,83,62,72,58,39,36,25,23,39,59,83,78,89,94,95,96,89,84,86,91,61,37,59,45,49,47,71,83,65,41,36,19,17,19,44,88,54,94
100,100,100,100,100,100,99,100,98,93,54,34,35,41,33,34,32,31,48,52,35,35,94,100,100,99,100,98,97,91,23,33,34,80,40,66,58,33,32,31,33,33,36,33,38,90,71,99
98,99,99,99,99,98,97,96,96,90,77,75,77,75,74,76,73,71,76,80,74,76,93,97,99,99,99,98,98,89,36,54,61,83,71,78,79,77,62,64,72,70,66,72,73,89,87,98
100,100,100,100,100,100,100,100,100,95,86,79,88,83,82,87,82,82,84,88,85,87,97,100,100,100,100,100,100,93,47,53,61,86,83,85,84,77,63,75,80,77,74,78,80,94,89,100
99,99,99,99,97,96,95,97,98,92,84,59,75,72,47,42,61,80,82,87,86,88,94,100,99,96,94,92,94,88,81,39,34,79,81,82,87,88,78,81,79,80,74,84,85,94,92,99
99,99,99,99,97,96,95,98,99,94,85,50,63,65,40,35,48,67,78,88,88,91,96,100,98,95,93,91,93,87,67,34,30,68,79,81,89,88,83,82,84,80,74,85,86,95,93,100
100,100,100,100,99,99,97,99,100,97,83,41,46,52,40,40,33,41,69,89,90,92,96,100,100,98,96,95,96,89,46,36,33,50,78,82,90,85,89,77,84,70,66,74,78,94,85,100
97,98,99,97,95,97,92,96,94,91,72,50,52,51,49,49,39,42,69,83,84,86,91,98,98,92,94,92,91,86,55,55,39,62,69,78,82,82,83,70,74,59,47,61,84,89,94,97
98,99,99,98,97,98,95,98,96,93,74,50,47,48,46,47,40,42,71,85,86,88,93,99,99,94,96,93,93,88,60,59,41,63,71,76,88,83,83,75,83,59,48,61,86,91,92,98
99,99,99,98,98,99,98,100,100,96,84,69,61,64,61,62,62,60,78,89,91,92,96,99,99,97,98,95,98,97,86,80,68,77,82,76,86,86,84,82,81,67,64,69,74,92,77,96
100,100,99,100,97,100,98,100,100,100,98,97,97,98,96,95,90,84,89,95,97,97,99,100,100,98,98,96,97,99,92,94,95,92,93,93,95,97,93,94,93,77,82,87,89,97,90,99
100,100,100,98,95,98,99,100,100,100,100,100,100,100,100,100,97,92,94,98,100,100,100,100,100,99,99,98,98,100,96,98,100,97,97,99,98,99,100,97,95,84,90,92,94,100,99,100
