0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
99,99,99,99,98,99,99,99,99,100,99,99,97,97,96,94,93,91,93,95,95,95,97,95,98,98,98,99,99,99,99,99,100,99,99,99,93,92,90,82,52,84,98,97,95,93,93,97
94,96,94,90,90,95,85,94,98,100,99,100,99,98,99,100,98,98,97,88,87,91,91,85,83,94,87,93,93,95,91,94,98,99,99,100,100,100,100,100,99,98,98,94,92,89,84,82
91,97,95,88,93,92,86,93,98,99,97,99,98,98,98,97,97,96,97,86,89,94,91,91,91,97,89,97,97,97,97,98,98,98,98,99,99,99,99,99,98,95,96,85,84,91,87,89
94,97,98,97,99,96,98,90,90,87,85,87,87,87,87,84,87,87,94,94,94,94,96,97,96,97,93,99,97,97,95,91,91,90,86,88,88,88,87,89,86,89,95,97,93,93,93,93
85,91,91,90,87,86,83,97,99,99,98,97,98,98,97,90,97,92,93,90,84,86,85,89,90,88,87,87,88,95,95,99,100,100,98,99,100,99,99,99,98,91,89,88,86,83,80,82
96,95,97,93,99,96,92,99,100,100,100,99,99,89,61,51,53,55,76,88,94,96,96,89,90,94,97,94,95,96,98,100,100,99,99,100,100,100,100,99,99,96,97,97,98,93,93,92
86,89,93,93,83,88,88,87,80,84,85,77,41,69,68,49,56,75,67,70,81,74,84,87,84,88,90,90,92,92,84,89,88,88,92,90,89,93,88,89,87,80,79,86,79,82,87,88
87,86,89,90,87,82,75,93,99,100,99,86,72,87,90,84,84,81,80,85,88,85,83,84,84,90,88,92,90,94,92,97,99,99,100,98,99,99,98,98,97,89,90,91,92,90,91,87
88,88,82,76,80,78,77,95,99,99,99,97,93,92,95,94,91,85,83,89,87,85,82,83,72,81,95,88,86,90,91,99,100,99,100,99,100,100,99,98,99,95,89,92,90,86,88,90
95,92,94,94,94,93,91,99,98,97,97,96,94,93,95,94,93,89,88,88,91,92,94,93,94,91,94,94,94,94,94,99,99,98,96,95,97,98,97,95,96,93,93,93,92,92,91,93
87,78,82,88,82,80,69,97,98,99,96,95,86,88,88,90,87,60,87,81,79,83,82,81,84,83,86,81,68,77,79,92,99,96,94,96,98,97,95,95,91,94,92,94,92,92,91,89
79,78,78,79,79,78,75,80,80,80,80,80,78,79,78,76,59,27,58,77,78,79,79,79,79,78,79,76,75,79,78,79,80,80,80,80,79,77,77,80,73,68,74,80,80,80,80,79
80,80,80,79,79,79,79,80,80,80,80,80,78,78,77,73,55,23,53,77,79,79,80,80,79,83,91,81,84,85,79,78,80,80,80,84,80,76,71,80,70,66,72,80,80,80,80,84
