0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
76,79,81,77,81,100,100,100,100,99,74,98,99,98,98,97,97,92,90,93,94,98,99,100,100,100,100,100,99,100,93,82,69,95,92,78,80,77,93,64,65,62,61,67,63,51,59,61
92,94,94,95,94,92,93,94,94,92,91,86,89,86,86,85,85,81,80,81,83,87,89,90,93,93,93,92,91,92,79,35,31,81,79,81,82,79,79,78,81,75,73,76,76,77,71,75
86,88,88,90,87,85,86,87,88,86,87,80,82,80,80,79,79,76,76,76,78,81,82,82,86,87,84,85,85,85,73,28,26,75,75,77,77,74,75,73,76,70,67,70,73,77,69,75
88,90,92,94,92,91,89,91,93,91,90,86,86,83,83,82,82,79,79,79,83,86,88,90,92,91,94,91,89,89,73,30,29,52,67,78,78,78,75,75,77,72,69,72,73,69,72,81
90,92,96,98,95,96,93,95,98,96,94,92,91,87,86,84,85,83,83,84,88,91,96,98,98,92,96,95,98,94,74,34,34,40,62,78,80,82,77,76,78,75,71,74,73,66,76,89
67,70,77,77,74,76,76,83,84,83,80,79,80,76,76,74,76,73,73,73,74,75,76,76,74,75,74,75,75,77,70,69,69,56,61,74,74,76,73,72,74,70,69,71,72,70,68,68
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,74,75,75
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,27,55,55,55
