0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
98,97,94,94,93,97,95,94,97,94,88,82,89,91,89,87,53,61,87,90,89,91,94,97,97,93,92,84,91,94,68,42,36,59,82,88,91,90,87,86,84,62,76,80,81,91,86,96
100,99,98,99,96,99,99,100,100,97,84,74,83,84,79,82,80,53,85,87,88,91,96,100,100,95,94,80,93,97,72,43,32,68,80,86,89,89,85,81,79,38,58,62,63,96,68,99
100,99,98,99,96,99,99,100,100,98,87,59,59,84,61,52,50,32,65,88,89,91,96,99,100,96,94,79,94,97,69,32,25,41,40,51,88,87,85,78,70,27,28,43,58,95,70,97
100,98,99,99,98,100,99,100,100,99,91,53,51,85,56,42,42,27,60,89,91,92,97,99,99,97,96,90,94,96,69,30,26,34,31,41,90,87,85,79,56,25,24,38,57,94,58,93
100,100,100,99,99,100,99,100,100,99,89,80,83,84,77,76,75,69,74,85,90,92,97,100,99,99,96,92,96,97,78,80,83,83,83,82,92,91,91,83,85,77,72,56,90,95,68,92
99,99,100,99,98,100,96,98,99,98,91,87,78,86,56,50,49,41,39,58,84,87,92,97,99,98,95,94,93,95,81,86,89,86,85,84,83,83,78,75,75,46,36,23,86,90,55,96
100,99,98,100,99,100,100,100,100,100,98,91,73,86,63,61,56,55,33,46,85,93,97,100,99,96,91,90,90,95,91,94,97,93,91,89,91,92,87,82,75,41,37,26,67,97,60,98
93,91,91,89,90,90,90,91,92,90,86,72,63,68,54,53,48,47,35,44,73,80,84,89,91,88,85,81,80,85,79,81,82,79,77,76,81,78,77,73,65,30,24,28,49,82,58,87
90,88,87,87,90,89,86,88,93,88,85,75,75,72,69,68,65,61,61,62,72,77,81,86,88,86,85,77,77,83,78,79,79,79,78,78,79,78,75,73,66,55,43,45,61,77,62,84
96,95,91,92,94,93,91,90,94,93,91,87,87,85,84,82,79,73,76,76,81,85,89,92,94,92,89,79,82,89,87,86,86,87,85,85,82,85,82,81,75,66,43,49,66,84,65,90
