0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
75,79,80,80,75,75,75,78,77,75,73,80,79,77,77,77,77,76,74,76,75,78,76,75,74,78,68,73,73,76,75,74,78,73,75,73,73,74,75,74,75,74,71,70,72,75,77,77
76,76,74,76,75,78,70,77,74,75,72,72,72,71,71,70,67,66,67,69,70,71,73,77,76,74,69,72,70,74,73,69,70,71,69,71,69,69,68,68,67,51,47,65,67,69,71,75
71,71,75,78,73,72,73,74,73,73,66,62,60,61,63,60,63,59,61,65,66,68,69,72,78,74,73,73,77,75,68,61,51,65,63,64,64,64,61,61,60,45,39,43,61,65,68,73
89,90,83,89,89,88,90,92,91,86,86,87,85,84,85,82,80,81,90,93,93,92,93,89,83,85,80,76,89,92,90,78,79,78,75,79,80,76,74,72,60,26,24,63,93,93,93,94
91,92,93,91,90,92,92,93,93,89,87,84,85,82,82,79,74,71,74,79,81,82,87,91,91,91,90,88,87,87,82,68,43,62,57,66,79,74,70,63,66,55,47,49,72,81,85,91
96,97,92,89,94,97,95,98,97,92,91,90,92,91,90,88,85,80,81,83,84,82,87,91,94,95,75,85,88,89,84,73,39,54,48,53,84,79,73,66,79,69,73,80,84,88,91,97
96,97,97,96,94,97,95,98,97,92,91,90,92,91,90,88,85,80,81,83,84,82,87,91,94,95,92,84,88,89,84,73,39,54,48,53,84,79,73,66,79,69,73,80,84,88,91,97
86,91,93,85,93,88,75,78,74,64,52,58,58,61,48,54,57,54,64,70,72,72,75,79,89,89,82,79,82,70,34,24,32,39,47,52,66,59,58,57,55,42,40,53,69,72,78,80
